Name of the Instrument,ISIN,Industry / Rating,Quantity,Market/Fair Value (Rs. in Lacs),% to Net Assets,Scheme Code,Scheme Name
Vijaya Diagnostic Centre Limited,INE043W01024,Healthcare Services,"3,66,187","3,607.86",1.89%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Siemens Energy India Limited,INE1NPP01017,Electrical Equipment,"1,17,000","3,481.80",1.83%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Computer Age Management Services Limited,INE596I01012,Capital Markets,"79,000","3,389.26",1.78%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
PG Electroplast Limited,INE457L01029,Consumer Durables,"4,40,000","3,320.46",1.74%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Syrma SGS Technology Limited,INE0DYJ01015,Industrial Manufacturing,"5,84,209","3,313.63",1.74%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Prudent Corporate Advisory Services Limited,INE00F201020,Capital Markets,"1,22,000","3,305.22",1.73%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Jyoti CNC Automation Ltd,INE980O01024,Industrial Manufacturing,"3,08,000","3,261.72",1.71%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
TD Power Systems Limited,INE419M01027,Electrical Equipment,"6,50,000","3,246.75",1.70%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Radico Khaitan Limited,INE944F01028,Beverages,"1,24,000","3,245.33",1.70%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Central Depository Services (India) Limited,INE736A01011,Capital Markets,"1,79,000","3,211.26",1.68%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Hitachi Energy India Limited,INE07Y701011,Electrical Equipment,"16,000","3,201.12",1.68%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Wockhardt Limited,INE049B01025,Pharmaceuticals & Biotechnology,"1,75,000","2,999.50",1.57%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Zaggle Prepaid Ocean Services Limited,INE07K301024,IT - Services,"7,02,001","2,898.56",1.52%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Aditya Birla Real Estate Limited,INE055A01016,"Paper, Forest & Jute Products","1,15,029","2,801.88",1.47%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Nuvama Wealth Management Limited,INE531F01015,Capital Markets,"34,000","2,798.54",1.47%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Indian Bank,INE562A01011,Banks,"4,33,000","2,786.14",1.46%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Carraro India Limited,INE0V7W01012,Auto Components,"6,08,763","2,772.31",1.45%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Arvind Limited,INE034A01011,Textiles & Apparels,"7,85,000","2,769.48",1.45%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
HEG Limited,INE545A01024,Industrial Products,"5,35,000","2,728.50",1.43%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Castrol India Limited,INE172A01027,Petroleum Products,"11,44,324","2,537.31",1.33%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Tips Music Limited,INE716B01029,Entertainment,"3,64,000","2,449.54",1.28%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
CMS Info System Limited,INE925R01014,Commercial Services & Supplies,"4,66,000","2,332.33",1.22%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Ganesha Ecosphere Limited,INE845D01014,Textiles & Apparels,"1,52,000","2,272.25",1.19%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Kernex Microsystems (India) Limited,INE202H01019,Transport Services,"1,81,876","2,158.87",1.13%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Poly Medicure Limited,INE205C01021,Healthcare Equipment & Supplies,"96,500","2,145.77",1.12%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Balrampur Chini Mills Limited,INE119A01028,Agricultural Food & other Products,"3,61,100","2,144.39",1.12%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Steel Authority of India Limited,INE114A01011,Ferrous Metals,"16,00,000","2,111.84",1.11%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Cartrade Tech Limited,INE290S01011,Retailing,"1,18,374","2,013.19",1.06%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Manorama Industries Limited,INE00VM01036,Food Products,"1,36,300","1,990.80",1.04%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Schneider Electric Infrastructure Limited,INE839M01018,Electrical Equipment,"2,35,000","1,956.14",1.03%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Cohance Lifesciences Limited,INE03QK01018,Pharmaceuticals & Biotechnology,"2,02,000","1,955.16",1.02%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Laxmi Dental Limited,INE0WO601020,Healthcare Equipment & Supplies,"4,49,000","1,950.68",1.02%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Latent View Analytics Limited,INE0I7C01011,IT - Software,"4,42,000","1,818.83",0.95%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Galaxy Surfactants Limited,INE600K01018,Chemicals & Petrochemicals,"68,611","1,795.34",0.94%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Unicommerce Esolutions Limited,INE00U401027,IT - Software,"14,02,666","1,766.10",0.93%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Krishna Institute Of Medical Sciences Limited,INE967H01025,Healthcare Services,"2,62,000","1,764.83",0.93%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
EID Parry India Limited,INE126A01031,Food Products,"1,57,713","1,750.61",0.92%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Hi-Tech Pipes Limited,INE106T01025,Industrial Products,"16,52,000","1,676.95",0.88%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Vinati Organics Limited,INE410B01037,Chemicals & Petrochemicals,"83,023","1,640.62",0.86%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Godavari Biorefineries Limited,INE497S01012,Diversified FMCG,"6,47,000","1,607.80",0.84%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Titagarh Rail Systems Limited,INE615H01020,Industrial Manufacturing,"1,62,952","1,536.39",0.81%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Senco Gold Limited,INE602W01027,Consumer Durables,"4,41,480","1,515.38",0.79%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
KSB Limited,INE999A01023,Industrial Products,"1,70,000","1,390.69",0.73%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Shakti Pumps (India) Limited,INE908D01010,Industrial Products,"1,39,000","1,313.06",0.69%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Mrs. Bectors Food Specialities Limited,INE495P01012,Food Products,"92,655","1,266.22",0.66%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Jupiter Wagons Limited,INE209L01016,Industrial Manufacturing,"3,23,533","1,256.60",0.66%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Tinna Rubber and Infrastructure Limited,INE015C01016,Industrial Products,"1,31,278","1,256.33",0.66%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Gufic Biosciences Limited,INE742B01025,Pharmaceuticals & Biotechnology,"3,44,924","1,255.70",0.66%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
ETHOS LTD.,INE04TZ01018,Consumer Durables,"46,880","1,238.48",0.65%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Advanced Enzyme Technologies Limited,INE837H01020,Pharmaceuticals & Biotechnology,"3,60,000","1,157.40",0.61%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Sanstar Ltd,INE08NE01025,Agricultural Food & other Products,"10,99,000","1,152.74",0.60%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Apar Industries Limited,INE372A01015,Electrical Equipment,"12,567","1,096.03",0.57%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Sterling And Wilson Renewable Energy Limited,INE00M201021,Construction,"3,25,000","1,039.68",0.54%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Capri Global Capital Limited,INE180C01042,Finance,"6,00,000","1,036.20",0.54%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
General Insurance Corporation of India,INE481Y01014,Insurance,"2,67,301","1,029.51",0.54%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Rane Holdings Limited,INE384A01010,Finance,"58,098",924.8,0.48%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
TeamLease Services Limited,INE985S01024,Commercial Services & Supplies,"44,000",893.73,0.47%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
PCBL Chemical Limited,INE602A01031,Chemicals & Petrochemicals,"2,00,000",837.8,0.44%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Stylam Industries Limited,INE239C01020,Consumer Durables,"47,741",782.24,0.41%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Prataap Snacks Limited,INE393P01035,Food Products,"46,456",489.65,0.26%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Steelcast Ltd,INE124E01020,Industrial Products,"40,000",464.88,0.24%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Shanthi Gears Limited,INE631A01022,Industrial Manufacturing,"57,405",282.2,0.15%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Sanathan Textiles Limited,INE0JPD01013,Textiles & Apparels,"40,280",193.42,0.10%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
Praj Industries Limited,INE074A01025,Industrial Manufacturing,"10,616",54.02,0.03%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
ETHOS LTD.,INE04TZ20018,Consumer Durables,"4,360",34.6,0.02%,145677,BANK OF INDIA Small Cap Fund Regular Plan Growth
HDFC Bank Limited,INE040A01034,Banks,"87,240","1,746.11",8.35%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
State Bank of India,INE062A01020,Banks,"1,22,387","1,004.00",4.80%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
ICICI Bank Limited,INE090A01021,Banks,"66,200",957.12,4.58%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Reliance Industries Limited,INE002A01018,Petroleum Products,"55,000",825.33,3.95%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Coforge Limited,INE591G01025,IT - Software,"39,445",759.12,3.63%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Shriram Finance Limited,INE721A01047,Finance,"1,04,000",735.12,3.52%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
NTPC Green Energy Limited,INE0ONG01011,Power,"6,36,000",665.83,3.18%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Vedanta Limited,INE205A01025,Diversified Metals,"1,35,000",622.15,2.98%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
NTPC Limited,INE733E01010,Power,"1,84,000",616.22,2.95%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense,"12,000",584.38,2.79%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Dr. Reddy's Laboratories Limited,INE089A01031,Pharmaceuticals & Biotechnology,"45,000",577.49,2.76%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tata Steel Limited,INE081A01020,Ferrous Metals,"3,25,000",519.22,2.48%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tech Mahindra Limited,INE669C01036,IT - Software,"28,000",472.36,2.26%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Hyundai Motor India Ltd,INE0V6F01027,Automobiles,"20,509",455.24,2.18%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bharat Electronics Limited,INE263A01024,Aerospace & Defense,"1,00,000",421.5,2.02%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Power Grid Corporation of India Limited,INE752E01010,Power,"1,38,000",413.86,1.98%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
SBI Cards and Payment Services Limited,INE018E01016,Finance,"42,000",400.3,1.91%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
CreditAccess Grameen Limited,INE741K01010,Finance,"33,000",399.2,1.91%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Adani Ports and Special Economic Zone Limited,INE742F01042,Transport Infrastructure,"27,500",398.81,1.91%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Ambuja Cements Limited,INE079A01024,Cement & Cement Products,"68,500",395.55,1.89%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tata Power Company Limited,INE245A01021,Power,"90,000",364.91,1.75%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Titan Company Limited,INE280A01028,Consumer Durables,"9,600",354.26,1.69%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Infosys Limited,INE009A01021,IT - Software,"22,000",352.4,1.69%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
JSW Steel Limited,INE019A01038,Ferrous Metals,"34,000",346.97,1.66%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
TD Power Systems Limited,INE419M01027,Electrical Equipment,"66,000",329.67,1.58%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Eternal Limited,INE758T01015,Retailing,"1,18,000",311.7,1.49%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
InterGlobe Aviation Limited,INE646L01027,Transport Services,"5,100",304.8,1.46%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tata Consultancy Services Limited,INE467B01029,IT - Software,"8,800",304.66,1.46%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Larsen & Toubro Limited,INE018A01030,Construction,"7,850",288.08,1.38%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals & Biotechnology,"7,963",271.39,1.30%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Quality Power Electrical Eqp Ltd,INE0SII01026,Electrical Equipment,"39,000",266.96,1.28%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bharti Airtel Limited,INE397D01024,Telecom - Services,"12,500",251.2,1.20%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
SBI Life Insurance Company Limited,INE123W01016,Insurance,"13,100",240.82,1.15%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Polycab India Limited,INE455K01017,Industrial Products,"3,650",239.11,1.14%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Sky Gold And Diamonds Limited,INE01IU01018,Consumer Durables,"75,000",235.58,1.13%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
ITC Limited,INE154A01025,Diversified FMCG,"55,000",229.05,1.10%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
REC Limited,INE020B01018,Finance,"53,500",215.28,1.03%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Kaynes Technology India Limited,INE918Z01012,Industrial Manufacturing,"3,400",207.23,0.99%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bank of Baroda,INE028A01039,Banks,"75,000",186.59,0.89%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals & Biotechnology,"10,700",179.3,0.86%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Siemens Energy India Limited,INE1NPP01017,Electrical Equipment,"6,000",178.55,0.85%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Hero MotoCorp Limited,INE158A01026,Automobiles,"4,000",169.48,0.81%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Siemens Limited,INE003A01024,Electrical Equipment,"5,100",165.83,0.79%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Avenue Supermarts Limited,INE192R01011,Retailing,"3,500",153.03,0.73%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Titagarh Rail Systems Limited,INE615H01020,Industrial Manufacturing,"16,000",150.86,0.72%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Pidilite Industries Limited,INE318A01026,Chemicals & Petrochemicals,"4,500",137.45,0.66%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Zaggle Prepaid Ocean Services Limited,INE07K301024,IT - Services,"29,960",123.7,0.59%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Trent Limited,INE849A01020,Retailing,"1,800",111.92,0.54%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Deepak Nitrite Limited,INE288B01029,Chemicals & Petrochemicals,"5,600",111.28,0.53%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bharat Heavy Electricals Limited,INE257A01026,Electrical Equipment,"40,000",106.52,0.51%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Balrampur Chini Mills Limited,INE119A01028,Agricultural Food & other Products,"17,500",103.92,0.50%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
DLF Limited,INE271C01023,Realty,"12,000",100.54,0.48%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth