Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value (Rounded, Rs. In Lacs)","Rounded, % to Net Assets",Scheme Code,Scheme Name
State Bank of India,INE062A01020,Banks,"5,36,748.000","4,403.21",2.93%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Kotak Mahindra Bank Ltd.,INE237A01028,Banks,"1,95,934.000","4,239.03",2.82%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
ITC Ltd.,INE154A01025,Diversified FMCG,"9,24,441.000","3,849.83",2.56%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Tata Power Company Ltd.,INE245A01021,Power,"9,02,801.000","3,660.41",2.43%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Tata Consultancy Services Ltd.,INE467B01029,IT - Software,"1,00,940.000","3,494.54",2.32%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Axis Bank Ltd.,INE238A01034,Banks,"2,86,620.000","3,437.15",2.28%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Hindustan Unilever Ltd.,INE030A01027,Diversified FMCG,"1,47,500.000","3,384.54",2.25%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Bharat Electronics Ltd.,INE263A01024,Aerospace & Defense,"7,70,947.000","3,249.54",2.16%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Mahindra & Mahindra Ltd.,INE101A01026,Automobiles,"1,01,950.000","3,245.27",2.16%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Shakti Pumps (India) Ltd.,INE908D01010,Industrial Products,"3,26,108.000","3,080.58",2.05%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Sun Pharmaceutical Industries Ltd.,INE044A01036,Pharmaceuticals & Biotechnology,"1,70,341.000","2,854.40",1.90%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Cipla Ltd.,INE059A01026,Pharmaceuticals & Biotechnology,"1,73,967.000","2,619.77",1.74%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
JTL Industries Ltd.,INE391J01032,Industrial Products,"32,16,647.000","2,598.41",1.73%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Power Finance Corporation Ltd.,INE134E01011,Finance,"5,99,498.000","2,562.25",1.70%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Grasim Industries Ltd.,INE047A01021,Cement & Cement Products,"86,679.00","2,465.58",1.64%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
SBI Life Insurance Company Ltd.,INE123W01016,Insurance,"1,33,924.000","2,461.92",1.64%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
NTPC Green Energy Ltd.,INE0ONG01011,Power,"23,14,950.000","2,423.52",1.61%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
REC Ltd.,INE020B01018,Finance,"5,46,160.000","2,197.75",1.46%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
GAIL (India) Ltd.,INE129A01019,Gas,"10,68,048.000","2,038.26",1.35%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Ultratech Cement Ltd.,INE481G01011,Cement & Cement Products,"16,566.00","2,003.33",1.33%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Allied Blenders And Distillers Ltd.,INE552Z01027,Beverages,"4,48,751.000","1,933.89",1.28%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Maruti Suzuki India Ltd.,INE585B01010,Automobiles,"13,682.00","1,696.57",1.13%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Alkem Laboratories Ltd.,INE540L01014,Pharmaceuticals & Biotechnology,"33,897.00","1,674.17",1.11%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Hero MotoCorp Ltd.,INE158A01026,Automobiles,"37,810.00","1,602.05",1.06%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Hindustan Aeronautics Ltd.,INE066F01020,Aerospace & Defense,"32,574.00","1,586.29",1.05%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Tata Consumer Products Ltd.,INE192A01025,Agricultural Food & other Products,"1,44,022.000","1,582.66",1.05%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Titan Company Ltd.,INE280A01028,Consumer Durables,"41,138.00","1,518.07",1.01%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
NCC Ltd.,INE868B01028,Construction,"6,52,152.000","1,502.95",1.00%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Shriram Finance Ltd.,INE721A01047,Finance,"2,05,107.000","1,449.80",0.96%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Bharat Forge Ltd.,INE465A01025,Auto Components,"1,03,250.000","1,350.61",0.90%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
VARUN BEVERAGES LIMITED,INE200M01039,Beverages,"2,85,675.000","1,307.11",0.87%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Blue Star Ltd.,INE472A01039,Consumer Durables,"74,018.00","1,210.64",0.80%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
VA Tech Wabag Ltd.,INE956G01038,Other Utilities,"80,005.00","1,185.19",0.79%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Pidilite Industries Ltd.,INE318A01026,Chemicals & Petrochemicals,"38,025.00","1,161.44",0.77%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Godawari Power And Ispat Ltd.,INE177H01039,Industrial Products,"5,83,435.000","1,104.97",0.73%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Senco Gold Ltd.,INE602W01027,Consumer Durables,"3,11,026.000","1,067.60",0.71%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
ABB India Ltd.,INE117A01022,Electrical Equipment,"16,505.00","1,003.59",0.67%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Seamec Ltd.,INE497B01018,Transport Services,"1,08,646.000",935.55,0.62%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Texmaco Rail & Engineering Ltd.,INE621L01012,Industrial Manufacturing,"5,29,575.000",932.26,0.62%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Apollo Hospitals Enterprise Ltd.,INE437A01024,Healthcare Services,"12,673.00",917.78,0.61%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Teamlease Services Ltd.,INE985S01024,Commercial Services & Supplies,"44,530.00",904.49,0.60%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Trent Ltd.,INE849A01020,Retailing,"13,598.00",845.46,0.56%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
L&T Technology Services Ltd.,INE010V01017,IT - Services,"16,575.00",729.65,0.48%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
K.P.R. Mill Ltd.,INE930H01031,Textiles & Apparels,"61,974.00",707.12,0.47%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Britannia Industries Ltd.,INE216A01030,Food Products,"12,027.00",703.7,0.47%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Cummins India Ltd.,INE298A01020,Industrial Products,"20,175.00",685.83,0.46%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Vedant Fashions Ltd.,INE825V01034,Retailing,"79,855.00",647.82,0.43%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Mphasis Ltd.,INE356A01018,IT - Software,"22,076.00",628.15,0.42%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Hindalco Industries Ltd.,INE038A01020,Non - Ferrous Metals,"87,442.00",605.84,0.40%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Cholamandalam Investment & Fin Co Ltd.,INE121A01024,Finance,"29,067.00",473.21,0.31%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
The Indian Hotels Company Ltd.,INE053A01029,Leisure Services,"61,322.00",466.23,0.31%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Bharat Heavy Electricals Ltd.,INE257A01026,Electrical Equipment,"1,50,065.000",399.62,0.27%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
Siemens Ltd.,INE003A01024,Electrical Equipment,"8,284.00",269.35,0.18%,106871,LIC MF Large Cap Fund-Regular Plan-Growth
HDFC Bank Ltd.,INE040A01034,Banks,"8,14,691.000","16,306.04",5.15%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
ICICI Bank Ltd.,INE090A01021,Banks,"10,82,678.000","15,653.36",4.94%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Shakti Pumps (India) Ltd.,INE908D01010,Industrial Products,"11,49,080.000","10,854.78",3.43%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Garware Hi-Tech Films Ltd.,INE291A01017,Industrial Products,"1,93,087.000","8,105.02",2.56%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Kotak Mahindra Bank Ltd.,INE237A01028,Banks,"3,55,421.000","7,689.53",2.43%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Tata Consultancy Services Ltd.,INE467B01029,IT - Software,"2,05,366.000","7,109.77",2.24%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Trent Ltd.,INE849A01020,Retailing,"1,09,808.000","6,827.31",2.15%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
REC Ltd.,INE020B01018,Finance,"16,08,375.000","6,472.10",2.04%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Bharat Electronics Ltd.,INE263A01024,Aerospace & Defense,"15,35,155.000","6,470.68",2.04%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Reliance Industries Ltd.,INE002A01018,Petroleum Products,"4,24,022.000","6,362.87",2.01%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Shriram Finance Ltd.,INE721A01047,Finance,"8,17,587.000","5,779.11",1.82%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Abbott India Ltd.,INE358A01014,Pharmaceuticals & Biotechnology,"15,806.00","5,638.00",1.78%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Apollo Hospitals Enterprise Ltd.,INE437A01024,Healthcare Services,"75,781.00","5,488.06",1.73%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
The Indian Hotels Company Ltd.,INE053A01029,Leisure Services,"6,92,264.000","5,263.28",1.66%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Cummins India Ltd.,INE298A01020,Industrial Products,"1,50,766.000","5,125.14",1.62%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Coromandel International Ltd.,INE169A01031,Fertilizers & Agrochemicals,"2,01,931.000","5,058.78",1.60%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Power Finance Corporation Ltd.,INE134E01011,Finance,"11,74,714.000","5,020.73",1.58%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Axis Bank Ltd.,INE238A01034,Banks,"3,96,224.000","4,751.52",1.50%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Alkem Laboratories Ltd.,INE540L01014,Pharmaceuticals & Biotechnology,"94,569.00","4,670.76",1.47%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Grasim Industries Ltd.,INE047A01021,Cement & Cement Products,"1,61,182.000","4,584.82",1.45%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Prestige Estates Projects Ltd.,INE811K01011,Realty,"2,74,330.000","4,546.75",1.43%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Mahindra & Mahindra Financial Serv Ltd.,INE774D01024,Finance,"16,47,517.000","4,447.47",1.40%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Bharat Bijlee Ltd.,INE464A01036,Electrical Equipment,"1,38,858.000","4,309.74",1.36%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
State Bank of India,INE062A01020,Banks,"5,12,722.000","4,206.11",1.33%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Bharti Hexacom Ltd.,INE343G01021,Telecom - Services,"2,15,079.000","4,199.85",1.33%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Procter & Gamble Hygiene&HealthCare Ltd.,INE179A01014,Personal Products,"29,727.00","3,973.31",1.25%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Honeywell Automation India Ltd.,INE671A01010,Industrial Manufacturing,"10,091.00","3,971.31",1.25%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Bharat Forge Ltd.,INE465A01025,Auto Components,"3,01,826.000","3,948.19",1.25%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Hero MotoCorp Ltd.,INE158A01026,Automobiles,"91,843.00","3,891.48",1.23%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Gujarat Gas Ltd.,INE844O01030,Gas,"7,82,123.000","3,713.52",1.17%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Maruti Suzuki India Ltd.,INE585B01010,Automobiles,"29,046.00","3,601.70",1.14%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Syngene International Ltd.,INE398R01022,Healthcare Services,"5,53,104.000","3,533.78",1.12%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Schneider Electric Infrastructure Ltd.,INE839M01018,Electrical Equipment,"4,20,897.000","3,503.55",1.11%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Container Corporation Of India Ltd.,INE111A01025,Transport Services,"4,59,004.000","3,487.51",1.10%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
EID Parry India Ltd.,INE126A01031,Food Products,"3,13,731.000","3,482.41",1.10%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Max Financial Services Ltd.,INE180A01020,Insurance,"2,10,705.000","3,470.52",1.10%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
JSW Infrastructure Ltd.,INE880J01026,Transport Infrastructure,"11,08,376.000","3,470.33",1.10%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Tata Power Company Ltd.,INE245A01021,Power,"8,50,456.000","3,448.17",1.09%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
LTIMindtree Ltd.,INE214T01019,IT - Software,"63,330.00","3,367.26",1.06%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Hindustan Unilever Ltd.,INE030A01027,Diversified FMCG,"1,44,465.000","3,314.89",1.05%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Voltas Ltd.,INE226A01021,Consumer Durables,"2,51,945.000","3,310.81",1.04%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Page Industries Ltd.,INE761H01022,Textiles & Apparels,"6,651.00","3,286.26",1.04%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Transport Corporation Of India Ltd.,INE688A01022,Transport Services,"2,87,215.000","3,246.10",1.02%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Infosys Ltd.,INE009A01021,IT - Software,"2,02,213.000","3,239.05",1.02%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Schaeffler India Ltd.,INE513A01022,Auto Components,"79,405.00","3,213.76",1.01%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
TD Power Systems Ltd.,INE419M01027,Electrical Equipment,"6,36,707.000","3,180.35",1.00%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Tata Consumer Products Ltd.,INE192A01025,Agricultural Food & other Products,"2,85,155.000","3,133.57",0.99%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Manorama Industries Ltd.,INE00VM01036,Food Products,"2,13,529.000","3,118.80",0.98%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Arvind Fashions Ltd.,INE955V01021,Retailing,"6,29,545.000","3,055.50",0.96%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
APL Apollo Tubes Ltd.,INE702C01027,Industrial Products,"1,72,768.000","3,004.61",0.95%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
KEI Industries Ltd.,INE878B01027,Industrial Products,"78,719.00","2,985.50",0.94%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
SRF Ltd.,INE647A01010,Chemicals & Petrochemicals,"90,445.00","2,932.32",0.93%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
UNO Minda Ltd.,INE405E01023,Auto Components,"2,64,334.000","2,919.04",0.92%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Tata Communications Ltd.,INE151A01013,Telecom - Services,"1,70,769.000","2,887.02",0.91%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Multi Commodity Exchange Of India Ltd.,INE745G01035,Capital Markets,"30,649.00","2,741.25",0.87%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
3M India Ltd.,INE470A01017,Diversified,"9,207.00","2,624.00",0.83%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Isgec Heavy Engineering Ltd.,INE858B01029,Construction,"2,10,922.000","2,611.64",0.82%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Jubilant Foodworks Ltd.,INE797F01020,Leisure Services,"3,65,542.000","2,565.37",0.81%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Kennametal India Ltd.,INE717A01029,Industrial Manufacturing,"1,00,967.000","2,362.53",0.75%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
GE Vernova T&D India Limited,INE200A01026,Electrical Equipment,"95,832.00","2,262.69",0.71%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Cipla Ltd.,INE059A01026,Pharmaceuticals & Biotechnology,"1,44,935.000","2,182.58",0.69%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Persistent Systems Ltd.,INE262H01021,IT - Software,"31,721.00","1,916.42",0.60%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
BSE Ltd.,INE118H01025,Capital Markets,"67,537.00","1,870.84",0.59%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Afcons Infrastructure Ltd.,INE101I01011,Construction,"4,26,938.000","1,867.64",0.59%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
ICICI Lombard General Insurance Co. Ltd.,INE765G01017,Insurance,"89,724.00","1,830.55",0.58%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Dee Development Engineers Ltd.,INE841L01016,Industrial Manufacturing,"5,01,444.000","1,607.13",0.51%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
ITC Ltd.,INE154A01025,Diversified FMCG,"3,72,859.000","1,552.77",0.49%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Bharat Heavy Electricals Ltd.,INE257A01026,Electrical Equipment,"5,79,611.000","1,543.50",0.49%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Mahindra & Mahindra Ltd.,INE101A01026,Automobiles,"48,194.00","1,534.11",0.48%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Larsen & Toubro Ltd.,INE018A01030,Construction,"41,573.00","1,525.65",0.48%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Linde India Ltd.,INE473A01011,Chemicals & Petrochemicals,"21,654.00","1,441.18",0.45%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
L&T Technology Services Ltd.,INE010V01017,IT - Services,"28,266.00","1,244.30",0.39%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Torrent Pharmaceuticals Ltd.,INE685A01028,Pharmaceuticals & Biotechnology,"35,598.00","1,213.25",0.38%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Tata Technologies Ltd.,INE142M01025,IT - Services,"1,67,741.000","1,192.64",0.38%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
K.P.R. Mill Ltd.,INE930H01031,Textiles & Apparels,"1,04,374.000","1,190.91",0.38%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Blue Star Ltd.,INE472A01039,Consumer Durables,"64,934.00","1,062.06",0.34%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Concord Enviro Systems Ltd.,INE037Z01029,Other Utilities,"1,83,120.000","1,052.85",0.33%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
JNK India Ltd.,INE0OAF01028,Industrial Manufacturing,"3,00,284.000","1,047.24",0.33%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Avalon Technologies Ltd.,INE0LCL01028,Electrical Equipment,"1,13,385.000",956.29,0.30%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Housing & Urban Development Corp Ltd.,INE031A01017,Finance,"2,54,378.000",604.3,0.19%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Divgi Torqtransfer Systems Ltd.,INE753U01022,Auto Components,"63,557.00",383.69,0.12%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth
Carraro India Ltd.,INE0V7W01012,Auto Components,"68,000.00",309.67,0.10%,133711,LIC MF Large & Mid Cap Fund-Regular Plan-Growth